Operation_ID,Equivalence_Group,Input_Size_N,Energy_Consumed_kWh,Execution_Time_sec,CO2_Emissions_g,Repeats_In_Window,Run_Mode
IDLE_Baseline,IDLE_Baseline,0,7.136199865576423e-05,30.000351800001226,0.05091257568296708,0,offline
G1_A_ManualLoop,G1_Summation,1000,5.091100382756538e-06,0.1799337999545969,0.003632199748174207,10000,offline
G1_B_BuiltinSum,G1_Summation,1000,4.5554155269383815e-06,0.05392169998958707,0.003250020208954446,10000,offline
G1_C_NumpySum,G1_Summation,1000,4.506389531337893e-06,0.042882699985057116,0.003215043053627238,10000,offline
G1_A_ManualLoop,G1_Summation,10000,5.0969713042161625e-06,0.1748001000378281,0.0036363883042512834,1000,offline
G1_B_BuiltinSum,G1_Summation,10000,4.552031131277979e-06,0.04566350003005937,0.003247605642330092,1000,offline
G1_C_NumpySum,G1_Summation,10000,4.382017040958585e-06,0.009443400020245463,0.003126310619718534,1000,offline
G1_A_ManualLoop,G1_Summation,100000,5.142704747587977e-06,0.1914059000555426,0.0036690164178239137,100,offline
G1_B_BuiltinSum,G1_Summation,100000,4.5497413093890664e-06,0.05216320004547015,0.003245971989511845,100,offline
G1_C_NumpySum,G1_Summation,100000,4.343300763555289e-06,0.00555599998915568,0.003098688840051649,100,offline
G1_A_ManualLoop,G1_Summation,1000000,5.173256911561793e-06,0.19850859994767234,0.0036908135842415573,10,offline
G1_B_BuiltinSum,G1_Summation,1000000,4.580749568553298e-06,0.06062260002363473,0.003268094552938234,10,offline
G1_C_NumpySum,G1_Summation,1000000,4.364662165727117e-06,0.006745099963154644,0.0031139289401785203,10,offline
G2_A_ManualLoop,G2_Filtering,1000,5.988455011703989e-06,0.3725119999726303,0.004272409332005105,10000,offline
G2_B_Filter,G2_Filtering,1000,6.191052804309588e-06,0.4300943000125699,0.004416950903759436,10000,offline
G2_C_ListComp,G2_Filtering,1000,5.463333853086758e-06,0.2650090000242926,0.0038977663674800694,10000,offline
G2_A_ManualLoop,G2_Filtering,10000,5.555825668623169e-06,0.2865470999968238,0.003963753820848182,1000,offline
G2_B_Filter,G2_Filtering,10000,6.133571533790115e-06,0.42201069998554885,0.004375941408638753,1000,offline
G2_C_ListComp,G2_Filtering,10000,5.450404599183488e-06,0.26180549996206537,0.0038885421076460674,1000,offline
G2_A_ManualLoop,G2_Filtering,100000,5.5250000487418965e-06,0.28087889996822923,0.003941761559774467,100,offline
G2_B_Filter,G2_Filtering,100000,6.248958427757836e-06,0.44303679995937273,0.004458263149657978,100,offline
G2_C_ListComp,G2_Filtering,100000,5.569356399344009e-06,0.291169699979946,0.003973407198904389,100,offline
G2_A_ManualLoop,G2_Filtering,1000000,6.200384533570211e-06,0.41034589998889714,0.004423608542014865,10,offline
G2_B_Filter,G2_Filtering,1000000,6.709876830441187e-06,0.5540756999980658,0.004787101235786791,10,offline
G2_C_ListComp,G2_Filtering,1000000,5.869809297720169e-06,0.3598367999657057,0.004187762615174774,10,offline
G3_A_ManualLoop,G3_Transformation,1000,7.460323713977869e-06,0.7283205999992788,0.005322500810824085,10000,offline
G3_B_Map,G3_Transformation,1000,1.8684819474319592e-05,1.2975980999763124,0.013330516290578043,10000,offline
G3_C_ListComp,G3_Transformation,1000,6.910048266031503e-06,0.6009412999846973,0.004929911744965781,10000,offline
G3_A_ManualLoop,G3_Transformation,10000,7.265272314576849e-06,0.6837905999855138,0.005183343145384021,1000,offline
